id,other_social_response,fb_minutes,other_social_minutes,sum_social_minutes
22303,Between 1 and 2 hours,40,90,130
11355,More than 3 hours,25,180,205
1398,Between 31 minutes and 1 hour,50,45,95
21204,More than 3 hours,90,180,270
15251,Between 31 minutes and 1 hour,10,45,55
2536,Between 1 and 2 hours,120,90,210
14221,Between 1 and 30 minutes,120,15,135
2736,More than 3 hours,120,180,300
15642,Between 31 minutes and 1 hour,90,45,135
2885,More than 3 hours,120,180,300
17138,Between 31 minutes and 1 hour,120,45,165
19642,More than 3 hours,60,180,240
2094,Between 2 and 3 hours,40,150,190
14276,Between 2 and 3 hours,240,150,390
17783,Between 1 and 30 minutes,30,15,45
1862,More than 3 hours,300,180,480
2036,More than 3 hours,150,180,330
1405,Between 1 and 2 hours,60,90,150
10635,Between 2 and 3 hours,80,150,230
156,More than 3 hours,30,180,210
10434,Between 1 and 30 minutes,30,15,45
16694,Between 2 and 3 hours,100,150,250
797,Between 1 and 2 hours,90,90,180
1977,Between 2 and 3 hours,180,150,330
17873,Between 1 and 2 hours,30,90,120
11221,Between 2 and 3 hours,60,150,210
15089,Between 2 and 3 hours,45,150,195
22103,Between 1 and 2 hours,120,90,210
22865,More than 3 hours,30,180,210
21333,Between 31 minutes and 1 hour,20,45,65
11485,0 minutes,60,0,60
18162,Between 2 and 3 hours,120,150,270
1777,Between 1 and 2 hours,60,90,150
18911,Between 2 and 3 hours,120,150,270
234,More than 3 hours,45,180,225
9821,Between 31 minutes and 1 hour,20,45,65
18402,Between 2 and 3 hours,30,150,180
12244,Between 2 and 3 hours,60,150,210
10057,Between 1 and 2 hours,60,90,150
10512,Between 2 and 3 hours,90,150,240
1438,More than 3 hours,500,180,680
588,0 minutes,60,0,60
2132,More than 3 hours,90,180,270
699,Between 31 minutes and 1 hour,120,45,165
2585,Between 1 and 2 hours,120,90,210
20623,Between 1 and 2 hours,120,90,210
1871,Between 2 and 3 hours,40,150,190
12968,Between 31 minutes and 1 hour,30,45,75
14036,Between 1 and 2 hours,25,90,115
2740,Between 31 minutes and 1 hour,90,45,135
19269,Between 2 and 3 hours,30,150,180
15914,More than 3 hours,270,180,450
10799,Between 1 and 2 hours,30,90,120
20874,More than 3 hours,190,180,370
21136,0 minutes,120,0,120
12576,Between 2 and 3 hours,20,150,170
2165,More than 3 hours,60,180,240
2947,More than 3 hours,65,180,245
24253,Between 31 minutes and 1 hour,150,45,195
41,Between 2 and 3 hours,30,150,180
1299,Between 1 and 30 minutes,22,15,37
417,Between 2 and 3 hours,150,150,300
2826,Between 2 and 3 hours,300,150,450
233,More than 3 hours,45,180,225
2516,Between 31 minutes and 1 hour,60,45,105
24291,0 minutes,90,0,90
14738,Between 31 minutes and 1 hour,120,45,165
15220,Between 2 and 3 hours,120,150,270
20836,Between 2 and 3 hours,60,150,210
16527,Between 1 and 30 minutes,60,15,75
863,Between 31 minutes and 1 hour,60,45,105
20824,More than 3 hours,120,180,300
2545,More than 3 hours,70,180,250
1142,More than 3 hours,10,180,190
2448,Between 1 and 2 hours,45,90,135
17496,Between 1 and 2 hours,72,90,162
19979,More than 3 hours,60,180,240
527,Between 1 and 2 hours,90,90,180
18435,More than 3 hours,30,180,210
1122,Between 1 and 30 minutes,90,15,105
22137,Between 1 and 30 minutes,30,15,45
2531,More than 3 hours,90,180,270
15757,Between 1 and 30 minutes,180,15,195
23957,Between 1 and 2 hours,60,90,150
2760,More than 3 hours,90,180,270
1188,Between 1 and 2 hours,69,90,159
2880,Between 2 and 3 hours,100,150,250
22526,Between 2 and 3 hours,300,150,450
13444,Between 31 minutes and 1 hour,30,45,75
1519,Between 31 minutes and 1 hour,60,45,105
16741,Between 1 and 30 minutes,45,15,60
878,Between 1 and 30 minutes,30,15,45
18407,More than 3 hours,45,180,225
10246,More than 3 hours,90,180,270
2663,More than 3 hours,25,180,205
10982,Between 2 and 3 hours,60,150,210
17169,Between 1 and 2 hours,600,90,690
15261,More than 3 hours,45,180,225
2844,More than 3 hours,240,180,420
2672,Between 2 and 3 hours,60,150,210
16756,More than 3 hours,65,180,245
2771,Between 1 and 2 hours,60,90,150
460,0 minutes,45,0,45
1638,Between 2 and 3 hours,30,150,180
1033,More than 3 hours,400,180,580
19464,0 minutes,150,0,150
2944,More than 3 hours,60,180,240
2445,More than 3 hours,120,180,300
10726,More than 3 hours,40,180,220
1465,Between 1 and 30 minutes,30,15,45
24009,Between 31 minutes and 1 hour,30,45,75
559,Between 2 and 3 hours,500,150,650
17351,Between 2 and 3 hours,960,150,1110
17860,More than 3 hours,30,180,210
242,More than 3 hours,300,180,480
2665,Between 1 and 2 hours,120,90,210
22613,More than 3 hours,60,180,240
16037,Between 31 minutes and 1 hour,160,45,205
16439,Between 1 and 2 hours,45,90,135
2148,Between 31 minutes and 1 hour,35,45,80
1275,More than 3 hours,120,180,300
12219,Between 1 and 30 minutes,60,15,75
20431,0 minutes,1440,0,1440
16603,More than 3 hours,75,180,255
12174,More than 3 hours,100,180,280
22029,Between 1 and 2 hours,30,90,120
1058,Between 31 minutes and 1 hour,120,45,165
1768,Between 2 and 3 hours,240,150,390
15545,Between 1 and 2 hours,60,90,150
13276,More than 3 hours,45,180,225
1311,More than 3 hours,120,180,300
23040,Between 31 minutes and 1 hour,180,45,225
1741,More than 3 hours,120,180,300
18243,Between 2 and 3 hours,120,150,270
2286,Between 1 and 2 hours,120,90,210
14743,More than 3 hours,30,180,210
19944,Between 2 and 3 hours,120,150,270
876,Between 31 minutes and 1 hour,120,45,165
2899,Between 31 minutes and 1 hour,240,45,285
2992,Between 1 and 30 minutes,60,15,75
20366,Between 2 and 3 hours,60,150,210
450,More than 3 hours,60,180,240
22883,More than 3 hours,80,180,260
13820,Between 1 and 2 hours,150,90,240
17582,Between 1 and 2 hours,120,90,210
21531,0 minutes,180,0,180
2888,Between 1 and 2 hours,90,90,180
13514,More than 3 hours,60,180,240
16002,More than 3 hours,90,180,270
18010,More than 3 hours,240,180,420
12823,Between 2 and 3 hours,180,150,330
24277,Between 1 and 2 hours,90,90,180
21795,Between 1 and 30 minutes,60,15,75
1394,Between 31 minutes and 1 hour,120,45,165
1286,More than 3 hours,60,180,240
14774,More than 3 hours,30,180,210
2660,Between 31 minutes and 1 hour,60,45,105
944,Between 1 and 2 hours,180,90,270
1820,More than 3 hours,120,180,300
19462,More than 3 hours,45,180,225
976,0 minutes,50,0,50
1632,Between 1 and 30 minutes,140,15,155
2997,Between 2 and 3 hours,60,150,210
18738,Between 1 and 30 minutes,120,15,135
21944,More than 3 hours,120,180,300
3074,Between 1 and 2 hours,150,90,240
19794,Between 2 and 3 hours,120,150,270
17855,Between 31 minutes and 1 hour,30,45,75
18649,Between 31 minutes and 1 hour,45,45,90
2718,Between 2 and 3 hours,120,150,270
2952,Between 2 and 3 hours,60,150,210
106,More than 3 hours,30,180,210
18262,Between 1 and 30 minutes,20,15,35
196,More than 3 hours,600,180,780
9609,Between 1 and 2 hours,100,90,190
1982,Between 1 and 30 minutes,30,15,45
15287,Between 1 and 2 hours,30,90,120
12429,Between 1 and 2 hours,180,90,270
468,0 minutes,120,0,120
2232,Between 2 and 3 hours,75,150,225
20229,More than 3 hours,45,180,225
14532,Between 1 and 2 hours,200,90,290
19713,Between 2 and 3 hours,45,150,195
19820,Between 2 and 3 hours,60,150,210
10229,Between 1 and 2 hours,90,90,180
979,Between 1 and 2 hours,65,90,155
9965,Between 2 and 3 hours,200,150,350
2104,Between 2 and 3 hours,5,150,155
2467,Between 1 and 2 hours,60,90,150
13112,More than 3 hours,20,180,200
14974,Between 31 minutes and 1 hour,100,45,145
1763,Between 1 and 2 hours,30,90,120
3081,More than 3 hours,130,180,310
1856,More than 3 hours,45,180,225
18423,Between 2 and 3 hours,60,150,210
20564,Between 2 and 3 hours,120,150,270
17949,More than 3 hours,150,180,330
22552,Between 1 and 2 hours,30,90,120
2490,More than 3 hours,60,180,240
15307,Between 1 and 2 hours,60,90,150
12375,Between 2 and 3 hours,120,150,270
23004,Between 1 and 2 hours,90,90,180
1598,More than 3 hours,20,180,200
16105,Between 1 and 2 hours,60,90,150
17284,More than 3 hours,300,180,480
2546,Between 1 and 2 hours,120,90,210
22445,Between 2 and 3 hours,60,150,210
13451,Between 31 minutes and 1 hour,35,45,80
1274,More than 3 hours,90,180,270
1531,More than 3 hours,400,180,580
10853,Between 1 and 2 hours,45,90,135
10871,Between 1 and 2 hours,300,90,390
2188,More than 3 hours,120,180,300
9989,Between 2 and 3 hours,180,150,330
21474,Between 1 and 2 hours,60,90,150
24124,Between 1 and 2 hours,10,90,100
21678,More than 3 hours,60,180,240
24072,Between 2 and 3 hours,25,150,175
1013,Between 1 and 2 hours,45,90,135
19784,Between 1 and 2 hours,45,90,135
10169,More than 3 hours,60,180,240
2168,More than 3 hours,90,180,270
2791,0 minutes,30,0,30
824,More than 3 hours,10,180,190
16157,Between 1 and 2 hours,30,90,120
17255,More than 3 hours,30,180,210
21491,More than 3 hours,90,180,270
384,More than 3 hours,60,180,240
17007,More than 3 hours,45,180,225
2421,Between 1 and 2 hours,70,90,160
2996,Between 31 minutes and 1 hour,180,45,225
23301,Between 1 and 30 minutes,40,15,55
24,More than 3 hours,90,180,270
13360,Between 1 and 30 minutes,3,15,18
615,Between 2 and 3 hours,120,150,270
13347,More than 3 hours,20,180,200
1866,Between 31 minutes and 1 hour,200,45,245
19110,Between 31 minutes and 1 hour,30,45,75
13538,Between 31 minutes and 1 hour,60,45,105
2843,More than 3 hours,30,180,210
15784,Between 2 and 3 hours,60,150,210
21687,More than 3 hours,180,180,360
20049,More than 3 hours,240,180,420
2440,Between 2 and 3 hours,60,150,210
22056,Between 2 and 3 hours,120,150,270
13838,Between 31 minutes and 1 hour,450,45,495
16021,More than 3 hours,120,180,300
20211,Between 1 and 30 minutes,60,15,75
1430,More than 3 hours,60,180,240
14452,More than 3 hours,30,180,210
1510,More than 3 hours,480,180,660
1822,Between 1 and 2 hours,240,90,330
2323,Between 1 and 2 hours,120,90,210
1508,Between 1 and 2 hours,45,90,135
378,More than 3 hours,300,180,480
2931,Between 1 and 30 minutes,240,15,255
3039,Between 1 and 2 hours,90,90,180
1245,Between 1 and 2 hours,60,90,150
12029,Between 31 minutes and 1 hour,60,45,105
20269,Between 2 and 3 hours,70,150,220
2597,More than 3 hours,100,180,280
2505,Between 2 and 3 hours,360,150,510
24188,Between 1 and 2 hours,600,90,690
14450,Between 1 and 2 hours,60,90,150
20518,Between 1 and 2 hours,600,90,690
1963,Between 1 and 30 minutes,30,15,45
17511,Between 1 and 2 hours,200,90,290
10940,Between 31 minutes and 1 hour,120,45,165
1022,Between 1 and 30 minutes,60,15,75
17326,Between 1 and 2 hours,45,90,135
14039,More than 3 hours,100,180,280
11923,More than 3 hours,25,180,205
2890,Between 2 and 3 hours,60,150,210
18459,Between 2 and 3 hours,200,150,350
2424,Between 2 and 3 hours,300,150,450
10926,Between 2 and 3 hours,900,150,1050
1104,Between 1 and 2 hours,120,90,210
599,Between 1 and 2 hours,60,90,150
2679,Between 1 and 2 hours,55,90,145
15087,Between 31 minutes and 1 hour,30,45,75
16526,More than 3 hours,75,180,255
18782,More than 3 hours,240,180,420
10697,Between 2 and 3 hours,120,150,270
1892,Between 1 and 30 minutes,60,15,75
1930,More than 3 hours,40,180,220
2370,More than 3 hours,45,180,225
2035,Between 2 and 3 hours,120,150,270
340,Between 1 and 2 hours,90,90,180
17723,Between 31 minutes and 1 hour,60,45,105
2816,Between 1 and 2 hours,30,90,120
1169,Between 1 and 2 hours,30,90,120
167,0 minutes,240,0,240
1794,0 minutes,60,0,60
23565,Between 1 and 2 hours,30,90,120
11817,Between 31 minutes and 1 hour,200,45,245
16615,More than 3 hours,75,180,255
11302,Between 1 and 30 minutes,60,15,75
20164,Between 1 and 2 hours,50,90,140
20175,Between 2 and 3 hours,50,150,200
23464,More than 3 hours,60,180,240
1139,More than 3 hours,20,180,200
12367,Between 1 and 2 hours,45,90,135
12573,More than 3 hours,60,180,240
3055,More than 3 hours,70,180,250
19932,Between 2 and 3 hours,150,150,300
1581,More than 3 hours,120,180,300
14782,Between 2 and 3 hours,222,150,372
11724,Between 31 minutes and 1 hour,100,45,145
15761,Between 2 and 3 hours,120,150,270
23993,Between 1 and 2 hours,60,90,150
19027,Between 31 minutes and 1 hour,45,45,90
9910,Between 2 and 3 hours,120,150,270
815,More than 3 hours,120,180,300
18559,More than 3 hours,60,180,240
600,Between 1 and 2 hours,60,90,150
19351,More than 3 hours,180,180,360
20351,Between 31 minutes and 1 hour,45,45,90
2381,More than 3 hours,60,180,240
1919,More than 3 hours,875,180,1055
1484,More than 3 hours,300,180,480
15047,0 minutes,60,0,60
2288,Between 1 and 30 minutes,10,15,25
947,More than 3 hours,120,180,300
19304,0 minutes,120,0,120
2312,Between 1 and 2 hours,60,90,150
21393,Between 1 and 2 hours,60,90,150
13162,More than 3 hours,720,180,900
609,Between 31 minutes and 1 hour,120,45,165
14613,Between 2 and 3 hours,320,150,470
1342,More than 3 hours,120,180,300
2242,Between 1 and 30 minutes,70,15,85
415,Between 31 minutes and 1 hour,120,45,165
10742,More than 3 hours,120,180,300
24207,Between 2 and 3 hours,60,150,210
17153,Between 31 minutes and 1 hour,90,45,135
1482,Between 2 and 3 hours,60,150,210
959,More than 3 hours,90,180,270
15664,Between 31 minutes and 1 hour,20,45,65
2141,More than 3 hours,45,180,225
2936,More than 3 hours,300,180,480
1637,Between 1 and 2 hours,120,90,210
2447,0 minutes,40,0,40
11474,Between 2 and 3 hours,90,150,240
16596,Between 1 and 2 hours,180,90,270
2146,More than 3 hours,180,180,360
15131,More than 3 hours,120,180,300
19813,More than 3 hours,60,180,240
17747,Between 1 and 30 minutes,60,15,75
9791,More than 3 hours,45,180,225
689,More than 3 hours,35,180,215
19536,Between 1 and 2 hours,70,90,160
608,Between 2 and 3 hours,120,150,270
518,Between 1 and 2 hours,60,90,150
13147,Between 1 and 2 hours,150,90,240
13383,More than 3 hours,30,180,210
19862,Between 1 and 2 hours,120,90,210
2675,More than 3 hours,30,180,210
17701,Between 2 and 3 hours,20,150,170
633,Between 31 minutes and 1 hour,120,45,165
20991,More than 3 hours,60,180,240
17158,Between 1 and 2 hours,30,90,120
253,Between 1 and 2 hours,20,90,110
264,Between 2 and 3 hours,100,150,250
1975,Between 2 and 3 hours,60,150,210
22563,More than 3 hours,45,180,225
1199,Between 2 and 3 hours,75,150,225
12755,Between 1 and 2 hours,600,90,690
72,Between 1 and 30 minutes,120,15,135
1686,Between 1 and 2 hours,120,90,210
436,More than 3 hours,60,180,240
1935,Between 31 minutes and 1 hour,35,45,80
13934,0 minutes,90,0,90
15575,More than 3 hours,240,180,420
2055,Between 1 and 30 minutes,180,15,195
1554,0 minutes,45,0,45
19446,Between 1 and 2 hours,45,90,135
16695,More than 3 hours,200,180,380
461,Between 2 and 3 hours,150,150,300
23117,Between 2 and 3 hours,180,150,330
889,More than 3 hours,240,180,420
404,Between 31 minutes and 1 hour,70,45,115
10315,More than 3 hours,120,180,300
2784,More than 3 hours,120,180,300
23341,More than 3 hours,60,180,240
2648,More than 3 hours,60,180,240
2334,Between 2 and 3 hours,180,150,330
21243,Between 2 and 3 hours,320,150,470
3094,More than 3 hours,45,180,225
16471,More than 3 hours,75,180,255
20902,0 minutes,60,0,60
21292,Between 1 and 2 hours,240,90,330
14165,Between 1 and 2 hours,180,90,270
16302,Between 1 and 30 minutes,120,15,135
24123,More than 3 hours,1440,180,1620
22567,Between 1 and 2 hours,90,90,180
336,0 minutes,45,0,45
421,More than 3 hours,120,180,300
12636,Between 31 minutes and 1 hour,120,45,165
558,Between 31 minutes and 1 hour,160,45,205
24302,Between 1 and 30 minutes,40,15,55
10889,More than 3 hours,60,180,240
16826,More than 3 hours,180,180,360
17919,More than 3 hours,25,180,205
20425,Between 31 minutes and 1 hour,100,45,145
17318,Between 31 minutes and 1 hour,80,45,125
48,Between 1 and 2 hours,45,90,135
247,More than 3 hours,60,180,240
15314,More than 3 hours,8,180,188
23415,More than 3 hours,60,180,240
312,Between 2 and 3 hours,75,150,225
3021,Between 31 minutes and 1 hour,15,45,60
1481,Between 1 and 2 hours,60,90,150
832,Between 1 and 2 hours,200,90,290
19571,0 minutes,20,0,20
16531,More than 3 hours,75,180,255
23355,Between 1 and 30 minutes,180,15,195
152,Between 2 and 3 hours,35,150,185
18025,Between 2 and 3 hours,45,150,195
11436,0 minutes,200,0,200
19068,Between 2 and 3 hours,180,150,330
23945,More than 3 hours,40,180,220
277,Between 31 minutes and 1 hour,30,45,75
495,More than 3 hours,120,180,300
2980,Between 2 and 3 hours,30,150,180
17421,Between 1 and 2 hours,120,90,210
1683,Between 1 and 30 minutes,60,15,75
12359,More than 3 hours,60,180,240
10851,Between 31 minutes and 1 hour,20,45,65
12173,Between 2 and 3 hours,60,150,210
21616,Between 1 and 30 minutes,120,15,135
13586,Between 31 minutes and 1 hour,120,45,165
1507,More than 3 hours,200,180,380
731,More than 3 hours,180,180,360
12152,Between 2 and 3 hours,45,150,195
22620,More than 3 hours,45,180,225
1343,Between 1 and 30 minutes,60,15,75
21191,0 minutes,120,0,120
1858,More than 3 hours,45,180,225
2830,Between 2 and 3 hours,15,150,165
16297,More than 3 hours,120,180,300
21073,Between 2 and 3 hours,60,150,210
735,More than 3 hours,240,180,420
23202,Between 31 minutes and 1 hour,90,45,135
12326,Between 31 minutes and 1 hour,120,45,165
171,More than 3 hours,20,180,200
14170,More than 3 hours,30,180,210
23906,Between 1 and 2 hours,60,90,150
20830,Between 1 and 2 hours,240,90,330
16780,More than 3 hours,300,180,480
1324,Between 1 and 2 hours,100,90,190
21228,Between 2 and 3 hours,45,150,195
446,More than 3 hours,5,180,185
14021,More than 3 hours,120,180,300
2378,Between 1 and 2 hours,60,90,150
15845,Between 1 and 2 hours,120,90,210
20305,More than 3 hours,120,180,300
2763,Between 2 and 3 hours,240,150,390
22099,Between 1 and 2 hours,90,90,180
18549,More than 3 hours,90,180,270
16923,Between 31 minutes and 1 hour,60,45,105
23926,Between 2 and 3 hours,45,150,195
16843,Between 2 and 3 hours,60,150,210
12761,More than 3 hours,30,180,210
2768,Between 1 and 30 minutes,120,15,135
1850,More than 3 hours,45,180,225
21834,More than 3 hours,360,180,540
1266,Between 1 and 30 minutes,300,15,315
12585,More than 3 hours,90,180,270
22825,More than 3 hours,60,180,240
1020,Between 1 and 2 hours,30,90,120
593,Between 1 and 2 hours,60,90,150
1321,Between 31 minutes and 1 hour,60,45,105
22477,Between 2 and 3 hours,120,150,270
517,Between 1 and 2 hours,60,90,150
14159,0 minutes,120,0,120
19696,More than 3 hours,20,180,200
937,More than 3 hours,80,180,260
21859,Between 31 minutes and 1 hour,90,45,135
2797,More than 3 hours,75,180,255
1130,Between 1 and 2 hours,90,90,180
12398,Between 1 and 2 hours,60,90,150
16227,Between 1 and 2 hours,60,90,150
24132,More than 3 hours,120,180,300
18592,Between 1 and 2 hours,90,90,180
12242,Between 31 minutes and 1 hour,400,45,445
16922,More than 3 hours,75,180,255
739,0 minutes,60,0,60
18193,Between 1 and 2 hours,60,90,150
99,Between 1 and 2 hours,30,90,120
2820,Between 1 and 2 hours,270,90,360
10359,Between 1 and 2 hours,50,90,140
1823,Between 2 and 3 hours,90,150,240
12296,More than 3 hours,60,180,240
3080,Between 2 and 3 hours,80,150,230
598,Between 1 and 2 hours,30,90,120
17260,Between 31 minutes and 1 hour,120,45,165
12942,More than 3 hours,30,180,210
18522,Between 2 and 3 hours,120,150,270
18957,Between 2 and 3 hours,120,150,270
2087,Between 1 and 2 hours,35,90,125
134,More than 3 hours,48000,180,48180
19168,More than 3 hours,60,180,240
13289,More than 3 hours,45,180,225
19988,More than 3 hours,90,180,270
3117,More than 3 hours,180,180,360
19854,Between 1 and 2 hours,180,90,270
20763,Between 31 minutes and 1 hour,120,45,165
22730,Between 2 and 3 hours,80,150,230
22456,Between 2 and 3 hours,70,150,220
23246,More than 3 hours,240,180,420
2995,0 minutes,240,0,240
17448,Between 1 and 30 minutes,120,15,135
2559,Between 2 and 3 hours,60,150,210
18378,Between 31 minutes and 1 hour,180,45,225
13555,Between 2 and 3 hours,120,150,270
3003,More than 3 hours,90,180,270
23573,Between 1 and 2 hours,30,90,120
437,Between 1 and 30 minutes,30,15,45
23711,0 minutes,200,0,200
10218,More than 3 hours,120,180,300
654,Between 1 and 2 hours,120,90,210
653,Between 2 and 3 hours,60,150,210
16301,More than 3 hours,120,180,300
1719,More than 3 hours,75,180,255
2898,More than 3 hours,90,180,270
10559,Between 2 and 3 hours,120,150,270
23469,Between 31 minutes and 1 hour,120,45,165
16901,Between 1 and 2 hours,90,90,180
9983,Between 2 and 3 hours,75,150,225
694,More than 3 hours,120,180,300
23682,More than 3 hours,150,180,330
12071,Between 31 minutes and 1 hour,300,45,345
1313,Between 1 and 2 hours,120,90,210
14850,Between 2 and 3 hours,120,150,270
9715,More than 3 hours,20,180,200
22117,Between 1 and 2 hours,90,90,180
2365,More than 3 hours,120,180,300
17791,More than 3 hours,40,180,220
13575,Between 2 and 3 hours,60,150,210
10866,Between 1 and 2 hours,60,90,150
1409,Between 1 and 2 hours,30,90,120
12484,Between 2 and 3 hours,60,150,210
12122,Between 2 and 3 hours,60,150,210
2173,More than 3 hours,150,180,330
10632,Between 1 and 30 minutes,90,15,105
2804,Between 1 and 30 minutes,45,15,60
22830,Between 1 and 30 minutes,60,15,75
1628,More than 3 hours,45,180,225
15189,Between 2 and 3 hours,120,150,270
2807,Between 1 and 30 minutes,125,15,140
473,Between 1 and 2 hours,120,90,210
960,More than 3 hours,260,180,440
281,Between 2 and 3 hours,15,150,165
1375,More than 3 hours,30,180,210
926,Between 1 and 30 minutes,20,15,35
1771,Between 1 and 2 hours,60,90,150
228,More than 3 hours,100,180,280
2388,More than 3 hours,65,180,245
22227,Between 31 minutes and 1 hour,60,45,105
10139,More than 3 hours,20,180,200
16678,Between 1 and 2 hours,60,90,150
19505,Between 1 and 2 hours,70,90,160
14344,Between 1 and 30 minutes,30,15,45
2606,Between 1 and 30 minutes,90,15,105
21,More than 3 hours,120,180,300
15855,Between 31 minutes and 1 hour,60,45,105
66,Between 2 and 3 hours,60,150,210
15804,More than 3 hours,250,180,430
1740,More than 3 hours,500,180,680
14487,Between 31 minutes and 1 hour,240,45,285
726,More than 3 hours,30,180,210
574,More than 3 hours,120,180,300
670,Between 1 and 2 hours,60,90,150
73,Between 2 and 3 hours,90,150,240
2598,More than 3 hours,60,180,240
23805,Between 31 minutes and 1 hour,30,45,75
16988,More than 3 hours,120,180,300
2030,Between 1 and 2 hours,120,90,210
22337,Between 31 minutes and 1 hour,60,45,105
802,More than 3 hours,60,180,240
16086,More than 3 hours,200,180,380
996,Between 1 and 2 hours,60,90,150
19060,0 minutes,30,0,30
19085,Between 31 minutes and 1 hour,360,45,405
24029,Between 2 and 3 hours,129,150,279
2443,Between 1 and 2 hours,120,90,210
9651,Between 1 and 2 hours,70,90,160
201,Between 2 and 3 hours,120,150,270
23913,More than 3 hours,60,180,240
17279,Between 2 and 3 hours,120,150,270
898,Between 31 minutes and 1 hour,30,45,75
246,More than 3 hours,240,180,420
349,Between 2 and 3 hours,180,150,330
1992,More than 3 hours,120,180,300
10749,Between 1 and 2 hours,30,90,120
2458,More than 3 hours,60,180,240
22021,More than 3 hours,180,180,360
11408,More than 3 hours,1000,180,1180
10573,Between 1 and 2 hours,30,90,120
1602,Between 1 and 2 hours,90,90,180
536,More than 3 hours,45,180,225
14599,More than 3 hours,300,180,480
1386,More than 3 hours,60,180,240
2187,More than 3 hours,45,180,225
2054,More than 3 hours,60,180,240
10662,More than 3 hours,120,180,300
19429,Between 1 and 2 hours,120,90,210
331,Between 2 and 3 hours,60,150,210
15423,More than 3 hours,120,180,300
18961,Between 2 and 3 hours,65,150,215
22513,Between 1 and 2 hours,100,90,190
1240,Between 2 and 3 hours,30,150,180
22071,More than 3 hours,200,180,380
116,Between 31 minutes and 1 hour,45,45,90
15734,Between 2 and 3 hours,30,150,180
122,Between 1 and 30 minutes,60,15,75
15174,Between 2 and 3 hours,120,150,270
18556,Between 1 and 2 hours,50,90,140
17806,Between 1 and 30 minutes,120,15,135
877,Between 1 and 2 hours,120,90,210
2161,Between 2 and 3 hours,90,150,240
2595,Between 1 and 2 hours,180,90,270
20386,0 minutes,260,0,260
20818,More than 3 hours,200,180,380
12331,More than 3 hours,60,180,240
13984,More than 3 hours,70,180,250
117,More than 3 hours,120,180,300
15577,Between 2 and 3 hours,120,150,270
21332,Between 1 and 2 hours,60,90,150
15678,Between 1 and 30 minutes,120,15,135
11272,Between 1 and 2 hours,120,90,210
18202,Between 2 and 3 hours,60,150,210
17665,Between 1 and 2 hours,60,90,150
14357,More than 3 hours,60,180,240
15978,Between 1 and 2 hours,60,90,150
10669,More than 3 hours,120,180,300
1773,Between 1 and 2 hours,120,90,210
930,Between 2 and 3 hours,180,150,330
1909,Between 1 and 2 hours,35,90,125
13485,More than 3 hours,240,180,420
13976,More than 3 hours,120,180,300
18305,Between 1 and 30 minutes,300,15,315
21779,More than 3 hours,180,180,360
2654,Between 2 and 3 hours,120,150,270
18580,More than 3 hours,60,180,240
1828,Between 2 and 3 hours,300,150,450
2627,Between 2 and 3 hours,240,150,390
1703,More than 3 hours,120,180,300
17057,Between 31 minutes and 1 hour,75,45,120
21184,Between 31 minutes and 1 hour,100,45,145
1762,Between 1 and 2 hours,20,90,110
20135,0 minutes,150,0,150
18893,Between 31 minutes and 1 hour,180,45,225
570,More than 3 hours,60,180,240
9919,More than 3 hours,30,180,210
20501,Between 1 and 30 minutes,60,15,75
10883,Between 1 and 2 hours,10,90,100
1515,Between 31 minutes and 1 hour,90,45,135
17645,Between 1 and 30 minutes,60,15,75
16360,Between 1 and 30 minutes,30,15,45
18610,More than 3 hours,60,180,240
21702,Between 1 and 2 hours,90,90,180
13056,More than 3 hours,45,180,225
157,More than 3 hours,30,180,210
2268,0 minutes,400,0,400
92,0 minutes,240,0,240
3063,0 minutes,240,0,240
916,More than 3 hours,20,180,200
11590,Between 1 and 2 hours,30,90,120
10494,More than 3 hours,90,180,270
1338,Between 2 and 3 hours,120,150,270
1145,Between 1 and 2 hours,30,90,120
968,Between 31 minutes and 1 hour,240,45,285
2891,Between 1 and 2 hours,20,90,110
20575,More than 3 hours,80,180,260
14645,Between 1 and 2 hours,150,90,240
2273,0 minutes,180,0,180
13406,More than 3 hours,240,180,420
18176,Between 1 and 30 minutes,90,15,105
715,Between 1 and 2 hours,30,90,120
20399,Between 31 minutes and 1 hour,20,45,65
696,Between 1 and 2 hours,40,90,130
3078,Between 1 and 2 hours,90,90,180
1847,Between 31 minutes and 1 hour,60,45,105
33,More than 3 hours,240,180,420
2588,Between 31 minutes and 1 hour,45,45,90
10534,Between 1 and 2 hours,100,90,190
15097,Between 31 minutes and 1 hour,30,45,75
15346,Between 2 and 3 hours,80,150,230
13241,More than 3 hours,120,180,300
2533,More than 3 hours,60,180,240
20682,Between 1 and 2 hours,180,90,270
21872,Between 1 and 2 hours,25,90,115
1077,Between 2 and 3 hours,60,150,210
19990,Between 1 and 2 hours,60,90,150
847,Between 1 and 2 hours,90,90,180
15016,Between 1 and 2 hours,35,90,125
17136,More than 3 hours,100,180,280
15005,Between 2 and 3 hours,60,150,210
828,Between 31 minutes and 1 hour,45,45,90
954,0 minutes,360,0,360
2727,0 minutes,60,0,60
19599,More than 3 hours,150,180,330
2865,More than 3 hours,200,180,380
23148,Between 1 and 2 hours,70,90,160
1174,Between 31 minutes and 1 hour,100,45,145
9588,Between 1 and 30 minutes,120,15,135
19796,Between 31 minutes and 1 hour,30,45,75
21682,Between 1 and 2 hours,60,90,150
60,Between 1 and 2 hours,60,90,150
