id,other_social_response,fb_minutes,other_social_minutes,sum_social_minutes
17927,Between 1 and 30 minutes,10,15,25
19859,0 minutes,360,0,360
20099,More than 3 hours,150,180,330
1298,More than 3 hours,35,180,215
11521,Between 1 and 2 hours,60,90,150
11891,Between 1 and 2 hours,45,90,135
12806,Between 2 and 3 hours,60,150,210
2667,Between 31 minutes and 1 hour,90,45,135
371,Between 2 and 3 hours,60,150,210
1846,Between 2 and 3 hours,50,150,200
19665,Between 1 and 2 hours,30,90,120
15412,Between 2 and 3 hours,60,150,210
19207,Between 31 minutes and 1 hour,300,45,345
12540,More than 3 hours,90,180,270
3012,More than 3 hours,240,180,420
2041,More than 3 hours,120,180,300
1392,0 minutes,75,0,75
143,0 minutes,120,0,120
125,Between 1 and 30 minutes,60,15,75
1854,Between 1 and 2 hours,100,90,190
2355,More than 3 hours,120,180,300
23729,More than 3 hours,60,180,240
13042,More than 3 hours,90,180,270
13465,More than 3 hours,200,180,380
1267,More than 3 hours,300,180,480
23002,Between 31 minutes and 1 hour,50,45,95
13897,More than 3 hours,60,180,240
1261,More than 3 hours,120,180,300
18272,More than 3 hours,35,180,215
1235,Between 1 and 30 minutes,30,15,45
22661,Between 2 and 3 hours,180,150,330
16189,Between 31 minutes and 1 hour,30,45,75
18447,More than 3 hours,150,180,330
2198,Between 1 and 2 hours,180,90,270
2056,Between 1 and 2 hours,360,90,450
20757,Between 2 and 3 hours,120,150,270
543,Between 1 and 2 hours,0,90,90
13711,Between 2 and 3 hours,10,150,160
12384,Between 2 and 3 hours,60,150,210
2926,Between 1 and 2 hours,360,90,450
24115,0 minutes,90,0,90
20724,Between 1 and 2 hours,60,90,150
15440,Between 1 and 30 minutes,180,15,195
17012,Between 2 and 3 hours,240,150,390
2072,More than 3 hours,300,180,480
20519,Between 31 minutes and 1 hour,120,45,165
602,More than 3 hours,60,180,240
15157,Between 2 and 3 hours,10,150,160
9787,Between 1 and 2 hours,120,90,210
10417,0 minutes,40,0,40
9962,Between 31 minutes and 1 hour,60,45,105
11865,More than 3 hours,30,180,210
18658,Between 2 and 3 hours,60,150,210
20276,More than 3 hours,20,180,200
14551,Between 1 and 2 hours,120,90,210
10089,More than 3 hours,60,180,240
20054,More than 3 hours,90,180,270
17024,Between 1 and 30 minutes,30,15,45
22580,Between 31 minutes and 1 hour,0,45,45
2930,Between 1 and 30 minutes,120,15,135
919,More than 3 hours,60,180,240
23724,Between 1 and 30 minutes,30,15,45
14208,Between 2 and 3 hours,120,150,270
19565,Between 1 and 30 minutes,50,15,65
10524,Between 2 and 3 hours,40,150,190
779,More than 3 hours,45,180,225
2494,More than 3 hours,30,180,210
1523,More than 3 hours,45,180,225
15323,Between 31 minutes and 1 hour,60,45,105
20035,Between 31 minutes and 1 hour,60,45,105
510,Between 2 and 3 hours,28,150,178
508,Between 1 and 30 minutes,30,15,45
584,More than 3 hours,140,180,320
509,Between 2 and 3 hours,29,150,179
2500,More than 3 hours,500,180,680
1302,Between 1 and 2 hours,15,90,105
13560,Between 2 and 3 hours,510,150,660
13423,Between 1 and 30 minutes,45,15,60
766,Between 1 and 2 hours,60,90,150
23,Between 2 and 3 hours,160,150,310
19151,Between 2 and 3 hours,20,150,170
768,Between 1 and 30 minutes,60,15,75
1423,Between 1 and 2 hours,60,90,150
17208,Between 2 and 3 hours,120,150,270
302,More than 3 hours,300,180,480
1610,Between 1 and 2 hours,50,90,140
1886,Between 1 and 30 minutes,30,15,45
710,Between 1 and 2 hours,60,90,150
10011,Between 31 minutes and 1 hour,90,45,135
1138,Between 31 minutes and 1 hour,30,45,75
95,Between 2 and 3 hours,120,150,270
13585,Between 1 and 2 hours,30,90,120
21038,Between 2 and 3 hours,120,150,270
2322,More than 3 hours,240,180,420
88,More than 3 hours,45,180,225
20835,Between 2 and 3 hours,120,150,270
12728,More than 3 hours,120,180,300
13510,More than 3 hours,20,180,200
1875,Between 1 and 2 hours,120,90,210
21555,More than 3 hours,120,180,300
18660,More than 3 hours,30,180,210
2782,Between 31 minutes and 1 hour,46,45,91
9531,More than 3 hours,45,180,225
2435,More than 3 hours,60,180,240
723,Between 1 and 2 hours,30,90,120
9895,More than 3 hours,30,180,210
16388,Between 1 and 2 hours,60,90,150
1421,More than 3 hours,120,180,300
20722,Between 2 and 3 hours,20,150,170
12303,Between 31 minutes and 1 hour,720,45,765
11372,Between 1 and 30 minutes,45,15,60
19615,Between 1 and 2 hours,60,90,150
2677,0 minutes,300,0,300
23152,Between 31 minutes and 1 hour,45,45,90
24062,Between 2 and 3 hours,60,150,210
2465,Between 1 and 2 hours,40,90,130
20059,More than 3 hours,60,180,240
1124,Between 31 minutes and 1 hour,22,45,67
20334,Between 31 minutes and 1 hour,90,45,135
11808,Between 1 and 2 hours,240,90,330
19331,Between 31 minutes and 1 hour,480,45,525
11473,Between 2 and 3 hours,60,150,210
13363,Between 1 and 2 hours,60,90,150
10199,Between 2 and 3 hours,90,150,240
20390,More than 3 hours,60,180,240
17402,More than 3 hours,180,180,360
23554,0 minutes,60,0,60
22486,Between 2 and 3 hours,40,150,190
17371,More than 3 hours,300,180,480
2527,More than 3 hours,180,180,360
20243,Between 1 and 2 hours,120,90,210
24060,More than 3 hours,120,180,300
12368,Between 31 minutes and 1 hour,240,45,285
16667,More than 3 hours,60,180,240
148,Between 2 and 3 hours,150,150,300
22296,Between 2 and 3 hours,90,150,240
14511,Between 31 minutes and 1 hour,30,45,75
1368,More than 3 hours,240,180,420
13802,Between 2 and 3 hours,360,150,510
2894,Between 1 and 30 minutes,45,15,60
20040,Between 1 and 30 minutes,180,15,195
23786,More than 3 hours,120,180,300
19843,Between 31 minutes and 1 hour,180,45,225
